"","order","judge_num","dataset","case_outcome","judge_vote","lower_dir","name","judge_full","circuit","confirm_yr","appt_pres","gender_judge","party_judge","jcs","year_birth","race_judge","jud_experience","minority_judge","dec_year","num_fem","mow_sex","abs_jcs"
"289",4549,3,"title7","Conservative","Conservative","Conservative","Stockett v. Muncie Ind Transit","Evans, Terence Thomas","7",1995,"Clinton","Male","Democrat",-0.43299999833107,1940,"White","Experienced","White",2000,0,0,0.681999981403351
"290",4550,1,"title7","Liberal","Liberal","Conservative","Kyles v. JK Guardian Servs","Coffey, John Louis","7",1982,"Reagan","Male","Republican",0.25,1922,"White","Experienced","White",2000,1,1,0.00100000202655792
"291",4550,2,"title7","Liberal","Liberal","Conservative","Kyles v. JK Guardian Servs","Ripple, Kenneth Francis","7",1985,"Reagan","Male","Republican",0.375,1943,"White","No experience","White",2000,1,1,0.126000002026558
"292",4659,2,"title7","Conservative","Conservative","Conservative","Ford v. West","Alarcon, Arthur L.","10",1979,"Carter","Male","Democrat",-0.430000007152557,1925,"Hispanic","Experienced","Minority",2000,1,0,0.670500040054321
"293",4659,1,"title7","Conservative","Conservative","Conservative","Ford v. West","Seymour, Stephanie Kulp","10",1979,"Carter","Female","Democrat",-0.0689999982714653,1940,"White","No experience","White",2000,1,0,0.309500008821487
"294",4420,2,"title7","Liberal","Liberal","Conservative","Whidbee v. Garzarelli Food Specialties","Newman, Jon Ormond","2",1979,"Carter","Male","Democrat",-0.34400001168251,1932,"White","Experienced","White",2000,0,0,0.00300002098083496
"295",4420,1,"title7","Liberal","Liberal","Conservative","Whidbee v. Garzarelli Food Specialties","Oakes, James Lowell","2",1971,"Nixon","Male","Republican",0.0480000004172325,1924,"White","Experienced","White",2000,0,0,0.388999998569489
"296",4419,1,"title7","Conservative","Conservative","Liberal","Hester v. BIC corp","Newman, Jon Ormond","2",1979,"Carter","Male","Democrat",-0.34400001168251,1932,"White","Experienced","White",2000,0,0,0.00300002098083496
"297",4419,3,"title7","Conservative","Conservative","Liberal","Hester v. BIC corp","Cardamone, Richard J.","2",1981,"Reagan","Male","Republican",0.145999997854233,1925,"White","Experienced","White",2000,0,0,0.486999988555908
"298",4548,1,"title7","Conservative","Conservative","Conservative","Massey v. BCBS","Flaum, Joel Martin","7",1983,"Reagan","Male","Republican",0.00600000005215406,1936,"White","Experienced","White",2000,1,1,0.243000000715256
"299",4548,2,"title7","Conservative","Conservative","Conservative","Massey v. BCBS","Wood, Harlington Jr.","7",1976,"Ford","Male","Republican",0.00600000005215406,1920,"White","Experienced","White",2000,1,1,0.243000000715256
"300",4479,2,"title7","Conservative","Conservative","Liberal","Lacy v. Sitel Corp","Barksdale, Rhesa H.","5",1990,"Bush I","Male","Republican",0.32600000500679,1944,"White","No experience","White",2000,0,0,0.00549998879432678
"301",4479,3,"title7","Conservative","Conservative","Liberal","Lacy v. Sitel Corp","Parker, Robert Manley","5",1994,"Clinton","Male","Democrat",-0.441000014543533,1937,"White","Experienced","White",2000,0,0,0.772500038146973
"302",4442,1,"title7","Liberal","Liberal","Conservative","Goosby v. Johnson & Johnson","Alito, Samuel A., Jr.","3",1990,"Bush I","Male","Republican",0.524999976158142,1950,"White","No experience","White",2000,0,0,0.499499976634979
